acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Eurofarma	22/02/2002
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	EMS	03/02/2004
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Germed	26/05/2004
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	EMS Sigma Pharma	26/05/2004
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Biosintética	21/06/2004
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Medley	23/09/2004
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Teuto	12/04/2005
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Brainfarma	15/08/2005
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	União Química	29/08/2005
acebrofilina	Brismucol	Xarope	5 mg/ml; 10 mg/ml	Nova Química	26/09/2006
acebrofilina	Brondilat	Xarope	5 mg/ml; 10 mg/ml	Prati Donaduzzi	19/03/2007
acebrofilina	Brondilat	Xarope	5 mg/ml; 10 mg/ml	Geolab	19/05/2008
acebrofilina	Brondilat	Xarope	5 mg/ml; 10 mg/ml	Cimed	25/02/2009
aceclofenaco	Proflam	Comprimido revestido	100 mg	Ranbaxy	15/08/2002
aceclofenaco	Proflam	Creme dermatológico	15 mg/g	EMS	12/03/2007
aceclofenaco	Proflam	Creme dermatológico	15 mg/g	Germed	12/03/2007
aceclofenaco	Proflam	Creme dermatológico	15 mg/g	Legrand	17/03/2008
aceclofenaco	Proflam	Creme dermatológico	15 mg/g	Multilab	16/11/2009
aceclofenaco	Proflam	Comprimido revestido	100 mg	EMS	05/12/2011
aceclofenaco	Proflam	Comprimido revestido	100 mg	Germed	12/12/2011
aceclofenaco	Proflam	Comprimido revestido	100 mg	Legrand	12/12/2011
aceclofenaco	Proflam	Comprimido revestido	100 mg	Nova Química	14/05/2012
aceclofenaco	Proflam	Comprimido revestido	100 mg	Vitapan	04/11/2013
acetato de caspofungina	Cancidas	Pó para solução injetável	50 mg	Eurofarma	05/01/2015
acetato de ciproterona	Androcur	Comprimido	50 mg; 100 mg	Bergamo	11/02/2008
acetato de ciproterona	Androcur	Comprimido	50 mg	União Química	10/08/2015
"acetato de ciproterona + 
etinilestradiol"	Diane	Comprimido revestido	2,0 mg + 0,035 mg	Brainfarma	03/05/2013
"acetato de ciproterona + 
etinilestradiol"	Diane	Comprimido revestido	2,0 mg + 0,035 mg	Melcon	08/07/2013
"acetato de ciproterona + 
etinilestradiol"	Diane	Comprimido revestido	2,0 mg + 0,035 mg	Merck	08/09/2015
"acetato de ciproterona + 
etinilestradiol"	Diane	Comprimido revestido	2,0 mg + 0,035 mg	Sandoz	26/10/2015
"acetato de clormadinona + 
etinilestradiol"	Belara	Comprimido revestido	2 mg + 0,3 mg	Sanofi-Aventis	26/11/2012
"acetato de clormadinona + 
etinilestradiol"	Belara	Comprimido revestido	2 mg + 0,3 mg	Medley	18/02/2013
